Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
DCB520ASTS08G,"DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
3MABR-7100075700,3M 775L Stikit Film P240 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN)
5B-332-150,"5B-332-150 HIOLIT 5"" P150 Hook-and-Loop Sanding Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS)
GRF-CR15-3,"Grundfos CR 15-3 Vertical Multistage Centrifugal Pump, 15 m3/h, Stainless Steel",Grundfos,-- No Unilog Brand --,-- No DIB Brand --,Grundfos Pumps Corp (GRND)
HEX-M10-A2,"M10x1.5 Hex Bolt, Grade A2 Stainless Steel, 50mm Length, DIN 933",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Bossard Fastener Co (BOSS)
TE-CONN-6P,"TE Connectivity 6-Pin Industrial Circular Connector, IP67 Rated, Panel Mount",TE Connectivity,-- No Unilog Brand --,-- No DIB Brand --,TE Connectivity Ltd (TECN)
UNK-000472,,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,
UNK-000473,asdlkj 234 xx --- item item,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Unknown Distributor
UNK-000474,Assorted parts lot - mixed hardware,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN)
UNK-000475,472019,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,
DBD100094101F,"DBD100094101F Diablo 10"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,
CONF-001,"Cubitron II Sanding Disc P100, 5 inch",Norton,-- No Unilog Brand --,-- No DIB Brand --,3M Company (3MCO)
DCB520ASTS08G,"DCB520ASTS08G Diablo 1/2""x24"" - Sanding Belt 8pc P80 Grit",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
DCB520ASTS08G-P120,"DCB520ASTS08G-P120 Diablo 1/2""x24"" - Sanding Belt 8pc P120 Grit",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
IND-PUMP-XT450,"XT450 Industrial Centrifugal Pump - Flow Rate 45 m3/h, Head 32m, 5.5kW Motor, Cast Iron Housing, IP55, 380-415V 3-Phase, Max Temp 90C, Inlet 65mm, Outlet 50mm",Xylem,-- No Unilog Brand --,-- No DIB Brand --,Xylem Water Solutions (XYLM)
UNK-000480,No Product Found In Source Text,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,
9A-570-400,9A-570-400 Abranet 2.75x30 Mesh Sanding Strip P400,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS)
SKF-6205-2RS,"SKF 6205-2RS Deep Groove Ball Bearing, 25x52x15mm, Double Sealed",SKF,-- No Unilog Brand --,-- No DIB Brand --,SKF USA Inc (SKFU)
PHX-TB-4P,"Phoenix Contact 4-Position Terminal Block, Screw Type, 600V 30A Rated",Phoenix Contact,-- No Unilog Brand --,-- No DIB Brand --,Phoenix Contact USA (PHXC)
DBDS9125A01F,"DBDS9125A01F Diablo 9"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435)
