Mfg_Part_Num,Part_Desc,Part_Manuf,Detected_Category,Product_Name,Overall_Confidence,Needs_Review_Count,Total_Fields,Extracted_Fields_JSON,Processed_At
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",Freud Inc (2435),industrial_pump,Manufacturer Part Number: DCB518ASTS06G,0,7,7,"{""manufacturer"": {""value"": ""Part Number: DCB518ASTS06G"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.951929+00:00
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC (JAMIN),industrial_pump,Manufacturer Part Number: 3MABR-7100075678,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 3MABR-7100075678"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.952468+00:00
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC (JAMIN),industrial_pump,Manufacturer Part Number: 3MABR-7100045865,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 3MABR-7100045865"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.952955+00:00
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC (JAMIN),industrial_pump,Manufacturer Part Number: 3MABR-7100048736,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 3MABR-7100048736"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.953425+00:00
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC (JAMIN),industrial_pump,Manufacturer Part Number: 3MABR-7100075690,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 3MABR-7100075690"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.953892+00:00
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC (JAMIN),industrial_pump,Manufacturer Part Number: 3MABR-7100075692,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 3MABR-7100075692"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.954353+00:00
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,Jam Industrial Supply LLC (JAMIN),industrial_pump,Manufacturer Part Number: 3MABR-7100145365,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 3MABR-7100145365"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.954811+00:00
5B-332-080,"5B-332-080 HIOLIT 5"" P80",Mirka Abrasives Inc (MIRUS),industrial_pump,Manufacturer Part Number: 5B-332-080,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 5B-332-080"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.955253+00:00
5B-332-120,"5B-332-120 HIOLIT 5"" P120",Mirka Abrasives Inc (MIRUS),industrial_pump,Manufacturer Part Number: 5B-332-120,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 5B-332-120"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.955900+00:00
9A-570-240,9A-570-240 Abranet 2.75x30,Mirka Abrasives Inc (MIRUS),industrial_pump,Manufacturer Part Number: 9A-570-240,0,7,7,"{""manufacturer"": {""value"": ""Part Number: 9A-570-240"", ""unit"": null, ""confidence"": 55, ""reasoning"": ""Demo mode: found keyword match"", ""status"": ""needs_review""}, ""model_number"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""pump_type"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""flow_rate"": {""value"": null, ""unit"": ""m\u00b3/h"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""head_pressure"": {""value"": null, ""unit"": ""m"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""power_rating"": {""value"": null, ""unit"": ""kW"", ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}, ""material_body"": {""value"": null, ""unit"": null, ""confidence"": 0, ""reasoning"": ""Demo mode: no match found in source text | Required field with no value \u2014 needs manual entry."", ""status"": ""needs_review""}}",2026-08-21T16:49:48.956440+00:00
